model,scenario,var_param,var_phrasing,var_resid
gemini-2.5-flash,s01_health,0.19012704458256463,0.07013816974525482,0.7397347856721805
gemini-2.5-flash,s02_grant,0.19669668110267569,0.10764346865793582,0.6956598502393885
gemini-2.5-flash,s03_board,0.06386032457974174,0.20414708599221912,0.7319925894280391
llama-3.3-70b-instruct,s01_health,0.13220940550133095,0.09183673469387757,0.7759538598047915
llama-3.3-70b-instruct,s02_grant,0.0725935671035099,0.12514969049908076,0.8022567423974093
llama-3.3-70b-instruct,s03_board,0.1317142218580049,0.13871712731878122,0.7295686508232138
qwen3-235b-a22b-2507,s01_health,0.3642202080362708,0.07159067595859663,0.5641891160051326
qwen3-235b-a22b-2507,s02_grant,0.0618898290042009,0.13792083308679956,0.8001893379089995
qwen3-235b-a22b-2507,s03_board,0.285412416205188,0.11374234916933841,0.6008452346254736
